%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1738186821607358703,10,1738186821481700800,map,0.966547429561615,-1.0334320068359375,-0.10556061565876007,-0.004822506540796715,0.22174809553052102,0.057294048266733816,0.9734073787333514,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001
1738186822613883151,11,1738186822483464202,map,1.1327111721038818,-1.3089207410812378,-0.1058741882443428,-0.04226062723870741,0.24388973057247165,0.15484452437221163,0.9564282600202291,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002
1738186823653265177,12,1738186823551186677,map,1.2203503847122192,-1.6143391132354736,-0.11214476078748703,-0.11250669707786519,0.2592107418540529,0.30992729027127097,0.9077979465834755,0.011000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000003
1738186824688887690,13,1738186824552095366,map,1.405906081199646,-1.7093241214752197,-0.1033545434474945,-0.16859954286315643,0.2864360755224277,0.4114656240326155,0.8486604850655786,0.012000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.012000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.012000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.012000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.012000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.012000000000000004
1738186825717967704,14,1738186825615373178,map,1.5629011392593384,-1.8278323411941528,-0.10122267156839371,-0.19737056208770287,0.263246714533297,0.5063106383798656,0.7971170282262879,0.013000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.013000000000000005
1738186826789327812,15,1738186826682512406,map,1.7439546585083008,-1.8378986120224,-0.10045287758111954,-0.2630882038828427,0.24519316948769976,0.6584595698223437,0.6611323166455166,0.014000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.014000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.014000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.014000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.014000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.014000000000000005
1738186827791369068,16,1738186827682706081,map,1.9935922622680664,-1.8422795534133911,-0.10042207688093185,-0.31123796982482843,0.20857913301810396,0.7649101823851991,0.5239640619206213,0.015000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000006
1738186828803587018,17,1738186828702610937,map,2.225463628768921,-1.7014286518096924,-0.11162272840738297,-0.3350956536903587,0.1763499735045929,0.7777772896633582,0.5016712629333692,0.016000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.016000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.016000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.016000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.016000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.016000000000000007
1738186829851878803,18,1738186829750066128,map,2.4071896076202393,-1.5186209678649902,-0.09485325962305069,-0.3439165552602551,0.1690720735400807,0.7989885779968046,0.46341483404351713,0.017000000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.017000000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.017000000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.017000000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.017000000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.017000000000000008
1738186830920809311,19,1738186830814025030,map,2.474928617477417,-1.2420179843902588,-0.09150166809558868,-0.3328855900088254,0.1583810598456526,0.8010949613570565,0.47153946979460387,0.01800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01800000000000001
